Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Expected_xG,Expected_xAG
Rony Lopes,pt POR,Tondela,MF,29,6,6,367,1,2,0,1,0,0.2,1.0
Bruno Lourenço,pt POR,AVS Futebol,"MF,FW",27,6,2,190,0,0,0,0,0,0.3,0.1
Florentino Luís,pt POR,Benfica,MF,26,3,0,38,0,0,0,0,0,0.0,0.0
Dodi Lukebakio,be BEL,Benfica,FW,28,6,5,418,0,3,0,1,0,1.2,2.7
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Luquinhas,br BRA,Santa Clara,"FW,MF",29,5,2,161,0,0,0,1,0,0.3,0.0
Miguel Maga,pt POR,Vitória,DF,22,11,11,891,0,0,0,2,0,0.0,0.5
Gonçalo Maia,pt POR,Gil Vicente FC,"FW,MF",19,2,0,5,0,0,0,1,0,0.0,0.0
Otar Mamageishvili,ge GEO,Famalicão,MF,22,6,1,105,0,0,0,0,0,0.5,0.1
Ricardo Mangas,pt POR,Sporting CP,DF,27,6,5,401,2,0,0,2,0,0.8,1.2
Elias Manoel,br BRA,Santa Clara,"FW,MF",23,5,0,111,0,0,0,1,0,0.4,0.0
Brian Mansilla,uy URU,Arouca,FW,23,9,0,140,0,0,0,1,0,0.2,0.2
Tiago Manso,pt POR,Tondela,"DF,FW",25,11,8,661,1,0,1,2,0,1.8,0.5
Nico Mantl,de GER,Arouca,GK,25,2,2,180,0,0,0,0,0,0.0,0.0
Maracás,br BRA,Moreirense,DF,31,10,10,884,1,0,0,4,0,0.2,0.1
Maranhão,br BRA,Tondela,FW,26,11,9,798,2,0,1,4,0,3.4,0.8
Abraham Marcus,ng NGA,Estrela,"FW,MF",25,10,9,795,0,2,0,0,0,0.7,1.6
Alejandro Marqués,ve VEN,Estoril,FW,25,7,2,212,0,0,0,1,0,0.2,0.1
Christian Marques,ch SUI,Tondela,DF,22,9,9,810,0,0,0,1,0,0.2,0.9
Álvaro Martínez,es ESP,Moreirense,DF,23,5,1,143,0,0,0,1,0,0.0,0.0
Gabri Martínez,es ESP,Braga,"DF,MF",22,10,2,342,0,1,0,2,0,0.5,1.0
Julián Martínez,hn HON,Alverca,DF,21,3,2,206,0,0,0,0,0,0.1,0.0
Bernardo Martins,pt POR,Moreirense,"MF,FW",27,8,3,374,1,1,0,1,0,0.3,0.4
Diogo Martins,pt POR,Alverca,FW,29,1,0,8,0,0,0,0,0,0.1,0.0
Nor Maviram,ng NGA,Tondela,DF,24,9,7,640,0,0,0,1,0,0.2,0.6
Brayan Medina,co COL,Tondela,DF,23,9,9,809,0,0,0,6,1,1.6,0.3
Tobías Medina,ar ARG,Rio Ave,FW,21,1,0,12,0,0,0,0,0,0.0,0.0
Jorge Meireles,pt POR,Estrela,"MF,FW",21,9,5,423,0,1,0,0,0,0.2,0.4
João Mendes,pt POR,Vitória,"DF,MF",25,10,10,809,0,0,0,3,0,0.3,0.3
Matheus Mendes,br BRA,Alverca,GK,26,1,1,90,0,0,0,0,0,0.0,0.0
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Tomás Mendes,es ESP,Alverca,MF,20,5,3,311,0,1,0,1,0,0.0,0.6
Gustavo Mendonça,pt POR,AVS Futebol,"MF,DF",22,3,0,74,0,0,0,0,0,0.0,0.1
Bastien Meupiyou,fr FRA,Alverca,DF,19,9,9,810,0,0,0,2,0,0.4,0.0
Marko Milovanović,rs SRB,Alverca,FW,22,11,11,770,3,0,2,2,0,3.6,0.1
Miro,ao ANG,Tondela,FW,22,4,4,279,0,0,0,1,0,1.1,0.4
Cezary Miszta,pl POL,Rio Ave,GK,24,10,10,900,0,0,0,4,0,0.0,0.0
Matija Mitrovic,rs SRB,Vitória,MF,20,8,3,415,1,0,0,0,0,0.3,0.2
Iyad Mohamed,km COM,Casa Pia,MF,24,8,4,382,1,0,0,3,0,0.1,0.0
João Moisés,ao ANG,Estrela,"FW,MF",19,6,4,256,0,1,0,2,0,0.2,0.9
Guillem Molina,es ESP,AVS Futebol,DF,25,3,3,254,0,0,0,0,0,0.0,0.1
Rodrigo Mora,pt POR,Porto,"MF,FW",18,9,4,338,1,0,0,0,0,0.8,0.5
